q_over_b,u_m,z_m,surface_radius_m
0.1,2.5000000000000004e-11,-3.263509615384616e-07,1.4612311141609892e-07
0.1,2.5000000000000004e-11,-3.2585233516483523e-07,1.4652470106721587e-07
0.1,2.5000000000000004e-11,-3.253537087912088e-07,1.4692081936878438e-07
0.1,2.5000000000000004e-11,-3.2485508241758244e-07,1.473113184126002e-07
0.1,2.5000000000000004e-11,-3.2435645604395607e-07,1.4769605772788164e-07
0.1,2.5000000000000004e-11,-3.238578296703297e-07,1.4807561464685731e-07
0.1,2.5000000000000004e-11,-3.2335920329670333e-07,1.484499884649487e-07
0.1,2.5000000000000004e-11,-3.2286057692307696e-07,1.4881889428738503e-07
0.1,2.5000000000000004e-11,-3.223619505494506e-07,1.4918210659931542e-07
0.1,2.5000000000000004e-11,-3.218633241758242e-07,1.4954039694426845e-07
0.1,2.5000000000000004e-11,-3.2136469780219786e-07,1.4989359707763994e-07
0.1,2.5000000000000004e-11,-3.208660714285715e-07,1.5024118475171377e-07
0.1,2.5000000000000004e-11,-3.2036744505494507e-07,1.5058365659652323e-07
0.1,2.5000000000000004e-11,-3.198688186813187e-07,1.509213563768721e-07
0.1,2.5000000000000004e-11,-3.1937019230769233e-07,1.512535649860229e-07
0.1,2.5000000000000004e-11,-3.1887156593406596e-07,1.5158067296894334e-07
0.1,2.5000000000000004e-11,-3.183729395604396e-07,1.519031634087461e-07
0.1,2.5000000000000004e-11,-3.178743131868132e-07,1.5222009907431302e-07
0.1,2.5000000000000004e-11,-3.1737568681318686e-07,1.5253235960817623e-07
0.1,2.5000000000000004e-11,-3.168770604395605e-07,1.5283985435701863e-07
0.1,2.5000000000000004e-11,-3.163784340659341e-07,1.5314184045693162e-07
0.1,2.5000000000000004e-11,-3.1587980769230775e-07,1.5343960934405829e-07
0.1,2.5000000000000004e-11,-3.153811813186814e-07,1.5373201153305375e-07
0.1,2.5000000000000004e-11,-3.1488255494505496e-07,1.5401985979550072e-07
0.1,2.5000000000000004e-11,-3.143839285714286e-07,1.543030074347415e-07
0.1,2.5000000000000004e-11,-3.138853021978022e-07,1.5458097052697035e-07
0.1,2.5000000000000004e-11,-3.1338667582417585e-07,1.5485478989329886e-07
0.1,2.5000000000000004e-11,-3.128880494505495e-07,1.5512319961771703e-07
0.1,2.5000000000000004e-11,-3.123894230769231e-07,1.5538768747206474e-07
0.1,2.5000000000000004e-11,-3.1189079670329675e-07,1.556467555388373e-07
0.1,2.5000000000000004e-11,-3.113921703296704e-07,1.5590198311334442e-07
0.1,2.5000000000000004e-11,-3.10893543956044e-07,1.5615183742114073e-07
0.1,2.5000000000000004e-11,-3.1039491758241764e-07,1.5639791603644672e-07
0.1,2.5000000000000004e-11,-3.098962912087912e-07,1.5663865780150247e-07
0.1,2.5000000000000004e-11,-3.0939766483516485e-07,1.5687569364123306e-07
0.1,2.5000000000000004e-11,-3.088990384615385e-07,1.5710744725292802e-07
0.1,2.5000000000000004e-11,-3.084004120879121e-07,1.573354852683691e-07
0.1,2.5000000000000004e-11,-3.0790178571428575e-07,1.5755844047495456e-07
0.1,2.5000000000000004e-11,-3.074031593406594e-07,1.577773974836472e-07
0.1,2.5000000000000004e-11,-3.06904532967033e-07,1.579918436252883e-07
0.1,2.5000000000000004e-11,-3.0640590659340664e-07,1.582016543755611e-07
0.1,2.5000000000000004e-11,-3.0590728021978027e-07,1.5840778283004427e-07
0.1,2.5000000000000004e-11,-3.054086538461539e-07,1.5860880573411464e-07
0.1,2.5000000000000004e-11,-3.0491002747252753e-07,1.5880623383234648e-07
0.1,2.5000000000000004e-11,-3.044114010989011e-07,1.589989851765317e-07
0.1,2.5000000000000004e-11,-3.0391277472527474e-07,1.5918729804186289e-07
0.1,2.5000000000000004e-11,-3.034141483516484e-07,1.5937210544815242e-07
0.1,2.5000000000000004e-11,-3.02915521978022e-07,1.5955195429530842e-07
0.1,2.5000000000000004e-11,-3.0241689560439564e-07,1.5972781374458584e-07
0.1,2.5000000000000004e-11,-3.0191826923076927e-07,1.5990000130536713e-07
0.1,2.5000000000000004e-11,-3.014196428571429e-07,1.6006731733354989e-07
0.1,2.5000000000000004e-11,-3.0092101648351653e-07,1.6023076825153782e-07
0.1,2.5000000000000004e-11,-3.0042239010989016e-07,1.603905827974206e-07
0.1,2.5000000000000004e-11,-2.999237637362638e-07,1.605456162546257e-07
0.1,2.5000000000000004e-11,-2.994251373626374e-07,1.6069668643746348e-07
0.1,2.5000000000000004e-11,-2.98926510989011e-07,1.608443361006137e-07
0.1,2.5000000000000004e-11,-2.9842788461538464e-07,1.6098737483668053e-07
0.1,2.5000000000000004e-11,-2.9792925824175827e-07,1.611262166464266e-07
0.1,2.5000000000000004e-11,-2.974306318681319e-07,1.6126152052329183e-07
0.1,2.5000000000000004e-11,-2.9693200549450553e-07,1.6139299336212868e-07
0.1,2.5000000000000004e-11,-2.9643337912087916e-07,1.615199702682042e-07
0.1,2.5000000000000004e-11,-2.959347527472528e-07,1.6164297245808454e-07
0.1,2.5000000000000004e-11,-2.954361263736264e-07,1.6176247196220738e-07
0.1,2.5000000000000004e-11,-2.9493750000000006e-07,1.6187819000623886e-07
0.1,2.5000000000000004e-11,-2.944388736263737e-07,1.6198954135891982e-07
0.1,2.5000000000000004e-11,-2.9394024725274727e-07,1.6209689793414218e-07
0.1,2.5000000000000004e-11,-2.934416208791209e-07,1.6220056818855902e-07
0.1,2.5000000000000004e-11,-2.9294299450549453e-07,1.6230082412194587e-07
0.1,2.5000000000000004e-11,-2.9244436813186816e-07,1.623970102497548e-07
0.1,2.5000000000000004e-11,-2.919457417582418e-07,1.6248908261150056e-07
0.1,2.5000000000000004e-11,-2.914471153846154e-07,1.6257726543541135e-07
0.1,2.5000000000000004e-11,-2.9094848901098905e-07,1.6266173898189166e-07
0.1,2.5000000000000004e-11,-2.904498626373627e-07,1.627426440225184e-07
0.1,2.5000000000000004e-11,-2.899512362637363e-07,1.6282004203820224e-07
0.1,2.5000000000000004e-11,-2.8945260989010995e-07,1.628934050543641e-07
0.1,2.5000000000000004e-11,-2.8895398351648353e-07,1.6296284597834666e-07
0.1,2.5000000000000004e-11,-2.8845535714285716e-07,1.630284785894397e-07
0.1,2.5000000000000004e-11,-2.879567307692308e-07,1.6309039114003342e-07
0.1,2.5000000000000004e-11,-2.874581043956044e-07,1.6314864963876663e-07
0.1,2.5000000000000004e-11,-2.8695947802197805e-07,1.6320330091719333e-07
0.1,2.5000000000000004e-11,-2.864608516483517e-07,1.63254390795871e-07
0.1,2.5000000000000004e-11,-2.859622252747253e-07,1.633019197611574e-07
0.1,2.5000000000000004e-11,-2.8546359890109895e-07,1.6334564649787183e-07
0.1,2.5000000000000004e-11,-2.849649725274726e-07,1.633856266306818e-07
0.1,2.5000000000000004e-11,-2.844663461538462e-07,1.6342190427158437e-07
0.1,2.5000000000000004e-11,-2.8396771978021984e-07,1.6345451400451655e-07
0.1,2.5000000000000004e-11,-2.834690934065934e-07,1.6348348267982627e-07
0.1,2.5000000000000004e-11,-2.8297046703296705e-07,1.6350883102278781e-07
0.1,2.5000000000000004e-11,-2.824718406593407e-07,1.6353057505916933e-07
0.1,2.5000000000000004e-11,-2.819732142857143e-07,1.6354872736002304e-07
0.1,2.5000000000000004e-11,-2.8147458791208794e-07,1.635632981073867e-07
0.1,2.5000000000000004e-11,-2.809759615384616e-07,1.6357429598217329e-07
0.1,2.5000000000000004e-11,-2.804773351648352e-07,1.6358172887552585e-07
0.1,2.5000000000000004e-11,-2.7997870879120884e-07,1.6358560442491893e-07
0.1,2.5000000000000004e-11,-2.7948008241758247e-07,1.635859303765602e-07
0.1,2.5000000000000004e-11,-2.789814560439561e-07,1.6358271477590395e-07
0.1,2.5000000000000004e-11,-2.784828296703297e-07,1.6357596598848172e-07
0.1,2.5000000000000004e-11,-2.779842032967033e-07,1.6356569255365453e-07
0.1,2.5000000000000004e-11,-2.7748557692307694e-07,1.6355190287429176e-07
0.1,2.5000000000000004e-11,-2.769869505494506e-07,1.6353460474568758e-07
0.1,2.5000000000000004e-11,-2.764883241758242e-07,1.6351380472736672e-07
0.1,2.5000000000000004e-11,-2.7598969780219784e-07,1.6348950736153198e-07
0.1,2.5000000000000004e-11,-2.7549107142857147e-07,1.6346171424202985e-07
0.1,2.5000000000000004e-11,-2.749924450549451e-07,1.6343042293751446e-07
0.1,2.5000000000000004e-11,-2.7449381868131873e-07,1.6339562577227536e-07
0.1,2.5000000000000004e-11,-2.7399519230769236e-07,1.6335730846766354e-07
0.1,2.5000000000000004e-11,-2.7349656593406594e-07,1.6331544864636937e-07
0.1,2.5000000000000004e-11,-2.7299793956043957e-07,1.6327001420084917e-07
0.1,2.5000000000000004e-11,-2.724993131868132e-07,1.6322111441611173e-07
0.1,2.5000000000000004e-11,-2.7200068681318683e-07,1.631689233086492e-07
0.1,2.5000000000000004e-11,-2.7150206043956047e-07,1.631133880101264e-07
0.1,2.5000000000000004e-11,-2.710034340659341e-07,1.6305448787262308e-07
0.1,2.5000000000000004e-11,-2.7050480769230773e-07,1.6299218645496228e-07
0.1,2.5000000000000004e-11,-2.7000618131868136e-07,1.629264291622402e-07
0.1,2.5000000000000004e-11,-2.69507554945055e-07,1.628571407628212e-07
0.1,2.5000000000000004e-11,-2.690089285714286e-07,1.6278422277303464e-07
0.1,2.5000000000000004e-11,-2.6851030219780225e-07,1.6270779623176916e-07
0.1,2.5000000000000004e-11,-2.6801167582417583e-07,1.6262826859825274e-07
0.1,2.5000000000000004e-11,-2.6751304945054946e-07,1.625455092693563e-07
0.1,2.5000000000000004e-11,-2.670144230769231e-07,1.6245939730471965e-07
0.1,2.5000000000000004e-11,-2.6651579670329673e-07,1.62369777895995e-07
0.1,2.5000000000000004e-11,-2.6601717032967036e-07,1.622764591034817e-07
0.1,2.5000000000000004e-11,-2.65518543956044e-07,1.6217971740443708e-07
0.1,2.5000000000000004e-11,-2.650199175824176e-07,1.6207999971049029e-07
0.1,2.5000000000000004e-11,-2.6452129120879125e-07,1.6197705830479127e-07
0.1,2.5000000000000004e-11,-2.640226648351649e-07,1.618706369816249e-07
0.1,2.5000000000000004e-11,-2.635240384615385e-07,1.6176042905804043e-07
0.1,2.5000000000000004e-11,-2.630254120879121e-07,1.616469923707468e-07
0.1,2.5000000000000004e-11,-2.625267857142857e-07,1.6153062318076242e-07
0.1,2.5000000000000004e-11,-2.6202815934065936e-07,1.6141094576108118e-07
0.1,2.5000000000000004e-11,-2.61529532967033e-07,1.61287545933988e-07
0.1,2.5000000000000004e-11,-2.610309065934066e-07,1.6116064514900694e-07
0.1,2.5000000000000004e-11,-2.6053228021978025e-07,1.6103097320967143e-07
0.1,2.5000000000000004e-11,-2.600336538461539e-07,1.6089802724400206e-07
0.1,2.5000000000000004e-11,-2.595350274725275e-07,1.6076124741465242e-07
0.1,2.5000000000000004e-11,-2.5903640109890114e-07,1.6062126826841192e-07
0.1,2.5000000000000004e-11,-2.585377747252748e-07,1.6047847868187092e-07
0.1,2.5000000000000004e-11,-2.580391483516484e-07,1.6033219739360987e-07
0.1,2.5000000000000004e-11,-2.57540521978022e-07,1.6018209442278535e-07
0.1,2.5000000000000004e-11,-2.570418956043956e-07,1.600293626694158e-07
0.1,2.5000000000000004e-11,-2.5654326923076925e-07,1.5987341562247405e-07
0.1,2.5000000000000004e-11,-2.560446428571429e-07,1.5971352576899675e-07
0.1,2.5000000000000004e-11,-2.555460164835165e-07,1.5955091669000769e-07
0.1,2.5000000000000004e-11,-2.5504739010989014e-07,1.593852561434185e-07
0.1,2.5000000000000004e-11,-2.545487637362638e-07,1.5921564196393743e-07
0.1,2.5000000000000004e-11,-2.540501373626374e-07,1.5904332066514144e-07
0.1,2.5000000000000004e-11,-2.5355151098901104e-07,1.5886794637182902e-07
0.1,2.5000000000000004e-11,-2.5305288461538467e-07,1.5868862306515537e-07
0.1,2.5000000000000004e-11,-2.5255425824175825e-07,1.5850676759104308e-07
0.1,2.5000000000000004e-11,-2.520556318681319e-07,1.5832163522688527e-07
0.1,2.5000000000000004e-11,-2.515570054945055e-07,1.581327535940811e-07
0.1,2.5000000000000004e-11,-2.5105837912087914e-07,1.5794144750948582e-07
0.1,2.5000000000000004e-11,-2.5055975274725277e-07,1.5774636463605598e-07
0.1,2.5000000000000004e-11,-2.500611263736264e-07,1.5754834644542883e-07
0.1,2.5000000000000004e-11,-2.4956250000000004e-07,1.5734745551097866e-07
0.1,2.5000000000000004e-11,-2.4906387362637367e-07,1.5714269914673198e-07
0.1,2.5000000000000004e-11,-2.485652472527473e-07,1.569355982312197e-07
0.1,2.5000000000000004e-11,-2.4806662087912093e-07,1.5672470180822878e-07
0.1,2.5000000000000004e-11,-2.4756799450549456e-07,1.5651111064849826e-07
0.1,2.5000000000000004e-11,-2.4706936813186814e-07,1.562943874541853e-07
0.1,2.5000000000000004e-11,-2.4657074175824177e-07,1.5607419453612843e-07
0.1,2.5000000000000004e-11,-2.460721153846154e-07,1.558514961833945e-07
0.1,2.5000000000000004e-11,-2.4557348901098903e-07,1.5562497323489505e-07
0.1,2.5000000000000004e-11,-2.4507486263736266e-07,1.5539617777092177e-07
0.1,2.5000000000000004e-11,-2.445762362637363e-07,1.551635265852133e-07
0.1,2.5000000000000004e-11,-2.4407760989010993e-07,1.5492859137048188e-07
0.1,2.5000000000000004e-11,-2.4357898351648356e-07,1.5468991757987315e-07
0.1,2.5000000000000004e-11,-2.430803571428572e-07,1.5444886289887452e-07
0.1,2.5000000000000004e-11,-2.425817307692308e-07,1.5420421143681883e-07
0.1,2.5000000000000004e-11,-2.420831043956044e-07,1.5395710225004958e-07
0.1,2.5000000000000004e-11,-2.4158447802197803e-07,1.537064877459518e-07
0.1,2.5000000000000004e-11,-2.4108585164835166e-07,1.5345341387135773e-07
0.1,2.5000000000000004e-11,-2.405872252747253e-07,1.5319684633379955e-07
0.1,2.5000000000000004e-11,-2.400885989010989e-07,1.5293790137910437e-07
0.1,2.5000000000000004e-11,-2.3958997252747256e-07,1.5267540749658998e-07
0.1,2.5000000000000004e-11,-2.390913461538462e-07,1.5241066687251591e-07
0.1,2.5000000000000004e-11,-2.385927197802198e-07,1.521423072613178e-07
0.1,2.5000000000000004e-11,-2.3809409340659342e-07,1.518718055899201e-07
0.1,2.5000000000000004e-11,-2.3759546703296706e-07,1.5159768833514768e-07
0.1,2.5000000000000004e-11,-2.370968406593407e-07,1.513213965290146e-07
0.1,2.5000000000000004e-11,-2.3659821428571432e-07,1.5104168738876095e-07
0.1,2.5000000000000004e-11,-2.3609958791208795e-07,1.5075948961842747e-07
0.1,2.5000000000000004e-11,-2.3560096153846156e-07,1.504744192849722e-07
0.1,2.5000000000000004e-11,-2.3510233516483519e-07,1.5018629835896196e-07
0.1,2.5000000000000004e-11,-2.3460370879120882e-07,1.4989595880868897e-07
0.1,2.5000000000000004e-11,-2.3410508241758245e-07,1.4960218990712074e-07
0.1,2.5000000000000004e-11,-2.3360645604395608e-07,1.4930632037874244e-07
0.1,2.5000000000000004e-11,-2.3310782967032969e-07,1.4900726160232542e-07
0.1,2.5000000000000004e-11,-2.3260920329670332e-07,1.4870553297260238e-07
0.1,2.5000000000000004e-11,-2.3211057692307695e-07,1.4840152641277004e-07
0.1,2.5000000000000004e-11,-2.3161195054945058e-07,1.4809424934345953e-07
0.1,2.5000000000000004e-11,-2.311133241758242e-07,1.4778488949036695e-07
0.1,2.5000000000000004e-11,-2.3061469780219784e-07,1.4747259271895817e-07
0.1,2.5000000000000004e-11,-2.3011607142857145e-07,1.4715750763483291e-07
0.1,2.5000000000000004e-11,-2.2961744505494508e-07,1.4684041379645793e-07
0.1,2.5000000000000004e-11,-2.291188186813187e-07,1.4652018378404453e-07
0.1,2.5000000000000004e-11,-2.2862019230769234e-07,1.4619751885084523e-07
0.1,2.5000000000000004e-11,-2.2812156593406597e-07,1.4587273127611316e-07
0.1,2.5000000000000004e-11,-2.2762293956043958e-07,1.4554487455095254e-07
0.1,2.5000000000000004e-11,-2.271243131868132e-07,1.4521476575408184e-07
0.1,2.5000000000000004e-11,-2.2662568681318684e-07,1.4488247518585741e-07
0.1,2.5000000000000004e-11,-2.2612706043956047e-07,1.4454722844993298e-07
0.1,2.5000000000000004e-11,-2.256284340659341e-07,1.4420978682954305e-07
0.1,2.5000000000000004e-11,-2.251298076923077e-07,1.4387024605376255e-07
0.1,2.5000000000000004e-11,-2.2463118131868134e-07,1.4352783301718475e-07
0.1,2.5000000000000004e-11,-2.2413255494505497e-07,1.4318319280858435e-07
0.1,2.5000000000000004e-11,-2.236339285714286e-07,1.4283663101844304e-07
0.1,2.5000000000000004e-11,-2.2313530219780223e-07,1.4248730212853752e-07
0.1,2.5000000000000004e-11,-2.2263667582417584e-07,1.4213565302300455e-07
0.1,2.5000000000000004e-11,-2.2213804945054947e-07,1.4178219472275673e-07
0.1,2.5000000000000004e-11,-2.216394230769231e-07,1.4142625293344428e-07
0.1,2.5000000000000004e-11,-2.2114079670329673e-07,1.4106785942857688e-07
0.1,2.5000000000000004e-11,-2.2064217032967036e-07,1.407075123929737e-07
0.1,2.5000000000000004e-11,-2.20143543956044e-07,1.403452646305928e-07
0.1,2.5000000000000004e-11,-2.196449175824176e-07,1.3998047523318032e-07
0.1,2.5000000000000004e-11,-2.1914629120879123e-07,1.3961352777352375e-07
0.1,2.5000000000000004e-11,-2.1864766483516486e-07,1.3924482484236301e-07
0.1,2.5000000000000004e-11,-2.181490384615385e-07,1.3887407402571063e-07
0.1,2.5000000000000004e-11,-2.1765041208791213e-07,1.385009606483551e-07
0.1,2.5000000000000004e-11,-2.1715178571428573e-07,1.3812585069220976e-07
0.1,2.5000000000000004e-11,-2.1665315934065936e-07,1.3774907392249077e-07
0.1,2.5000000000000004e-11,-2.16154532967033e-07,1.3737031802336716e-07
0.1,2.5000000000000004e-11,-2.1565590659340662e-07,1.3698933884869905e-07
0.1,2.5000000000000004e-11,-2.1515728021978026e-07,1.3660644048609797e-07
0.1,2.5000000000000004e-11,-2.1465865384615386e-07,1.3622189747788576e-07
0.1,2.5000000000000004e-11,-2.141600274725275e-07,1.3583564581985487e-07
0.1,2.5000000000000004e-11,-2.1366140109890112e-07,1.3544726796446832e-07
0.1,2.5000000000000004e-11,-2.1316277472527476e-07,1.3505699846614596e-07
0.1,2.5000000000000004e-11,-2.126641483516484e-07,1.3466507021371577e-07
0.1,2.5000000000000004e-11,-2.12165521978022e-07,1.3427166976334854e-07
0.1,2.5000000000000004e-11,-2.1166689560439562e-07,1.3387641065783787e-07
0.1,2.5000000000000004e-11,-2.1116826923076925e-07,1.3347926121296382e-07
0.1,2.5000000000000004e-11,-2.1066964285714289e-07,1.3308042306011326e-07
0.1,2.5000000000000004e-11,-2.1017101648351652e-07,1.3268007963329503e-07
0.1,2.5000000000000004e-11,-2.0967239010989012e-07,1.3227835956610798e-07
0.1,2.5000000000000004e-11,-2.0917376373626375e-07,1.3187490568056713e-07
0.1,2.5000000000000004e-11,-2.0867513736263738e-07,1.31469730347977e-07
0.1,2.5000000000000004e-11,-2.0817651098901102e-07,1.3106299661334108e-07
0.1,2.5000000000000004e-11,-2.0767788461538465e-07,1.306548536791662e-07
0.1,2.5000000000000004e-11,-2.0717925824175828e-07,1.302454381762265e-07
0.1,2.5000000000000004e-11,-2.0668063186813188e-07,1.2983458853356745e-07
0.1,2.5000000000000004e-11,-2.0618200549450552e-07,1.2942213725506063e-07
0.1,2.5000000000000004e-11,-2.0568337912087915e-07,1.29008221014877e-07
0.1,2.5000000000000004e-11,-2.0518475274725278e-07,1.2859296550100985e-07
0.1,2.5000000000000004e-11,-2.046861263736264e-07,1.2817648676609833e-07
0.1,2.5000000000000004e-11,-2.0418750000000001e-07,1.2775888743172985e-07
0.1,2.5000000000000004e-11,-2.0368887362637365e-07,1.2733996695223032e-07
0.1,2.5000000000000004e-11,-2.0319024725274728e-07,1.2691966001823938e-07
0.1,2.5000000000000004e-11,-2.026916208791209e-07,1.2649807628597257e-07
0.1,2.5000000000000004e-11,-2.0219299450549454e-07,1.260753179592212e-07
0.1,2.5000000000000004e-11,-2.0169436813186814e-07,1.2565148050934173e-07
0.1,2.5000000000000004e-11,-2.0119574175824178e-07,1.252266533415425e-07
0.1,2.5000000000000004e-11,-2.006971153846154e-07,1.2480082025832595e-07
0.1,2.5000000000000004e-11,-2.0019848901098904e-07,1.2437379206724736e-07
0.1,2.5000000000000004e-11,-1.9969986263736267e-07,1.2394564548612208e-07
0.1,2.5000000000000004e-11,-1.9920123626373628e-07,1.2351646825174514e-07
0.1,2.5000000000000004e-11,-1.987026098901099e-07,1.230863433937978e-07
0.1,2.5000000000000004e-11,-1.9820398351648354e-07,1.2265534973528006e-07
0.1,2.5000000000000004e-11,-1.9770535714285717e-07,1.2222356235933043e-07
0.1,2.5000000000000004e-11,-1.972067307692308e-07,1.2179099091916614e-07
0.1,2.5000000000000004e-11,-1.9670810439560443e-07,1.2135747451934943e-07
0.1,2.5000000000000004e-11,-1.9620947802197804e-07,1.2092306913615289e-07
0.1,2.5000000000000004e-11,-1.9571085164835167e-07,1.204878505848294e-07
0.1,2.5000000000000004e-11,-1.952122252747253e-07,1.2005189178970996e-07
0.1,2.5000000000000004e-11,-1.9471359890109893e-07,1.1961526314737058e-07
0.1,2.5000000000000004e-11,-1.9421497252747256e-07,1.1917803286893762e-07
0.1,2.5000000000000004e-11,-1.9371634615384617e-07,1.1874026730372705e-07
0.1,2.5000000000000004e-11,-1.932177197802198e-07,1.1830193875832312e-07
0.1,2.5000000000000004e-11,-1.9271909340659343e-07,1.1786294562909476e-07
0.1,2.5000000000000004e-11,-1.9222046703296706e-07,1.1742335421246606e-07
0.1,2.5000000000000004e-11,-1.917218406593407e-07,1.169832328301256e-07
0.1,2.5000000000000004e-11,-1.912232142857143e-07,1.1654264842930182e-07
0.1,2.5000000000000004e-11,-1.9072458791208793e-07,1.1610166684948403e-07
0.1,2.5000000000000004e-11,-1.9022596153846156e-07,1.1566035307877384e-07
0.1,2.5000000000000004e-11,-1.897273351648352e-07,1.1521877150146116e-07
0.1,2.5000000000000004e-11,-1.8922870879120882e-07,1.1477696514526226e-07
0.1,2.5000000000000004e-11,-1.8873008241758243e-07,1.1433482419207669e-07
0.1,2.5000000000000004e-11,-1.8823145604395606e-07,1.1389237688756343e-07
0.1,2.5000000000000004e-11,-1.877328296703297e-07,1.1344968973649507e-07
0.1,2.5000000000000004e-11,-1.8723420329670332e-07,1.1300682893106697e-07
0.1,2.5000000000000004e-11,-1.8673557692307695e-07,1.1256386057383597e-07
0.1,2.5000000000000004e-11,-1.8623695054945056e-07,1.1212085089864223e-07
0.1,2.5000000000000004e-11,-1.857383241758242e-07,1.1167786649103144e-07
0.1,2.5000000000000004e-11,-1.8523969780219782e-07,1.1123497450971239e-07
0.1,2.5000000000000004e-11,-1.8474107142857145e-07,1.1079219348590168e-07
0.1,2.5000000000000004e-11,-1.8424244505494508e-07,1.1034942633929027e-07
0.1,2.5000000000000004e-11,-1.8374381868131872e-07,1.0990672909514445e-07
0.1,2.5000000000000004e-11,-1.8324519230769232e-07,1.0946417053330775e-07
0.1,2.5000000000000004e-11,-1.8274656593406595e-07,1.0902182022588163e-07
0.1,2.5000000000000004e-11,-1.8224793956043958e-07,1.0857974877048925e-07
0.1,2.5000000000000004e-11,-1.8174931318681321e-07,1.0813802803254763e-07
0.1,2.5000000000000004e-11,-1.8125068681318685e-07,1.0769673139856899e-07
0.1,2.5000000000000004e-11,-1.8075206043956045e-07,1.0725593534173634e-07
0.1,2.5000000000000004e-11,-1.8025343406593408e-07,1.068155910668596e-07
0.1,2.5000000000000004e-11,-1.7975480769230771e-07,1.0637564974310445e-07
0.1,2.5000000000000004e-11,-1.7925618131868135e-07,1.0593618557512581e-07
0.1,2.5000000000000004e-11,-1.7875755494505498e-07,1.0549727460090783e-07
0.1,2.5000000000000004e-11,-1.7825892857142858e-07,1.0505899500215383e-07
0.1,2.5000000000000004e-11,-1.777603021978022e-07,1.0462142743788366e-07
0.1,2.5000000000000004e-11,-1.7726167582417584e-07,1.0418465540436868e-07
0.1,2.5000000000000004e-11,-1.7676304945054948e-07,1.0374876562481644e-07
0.1,2.5000000000000004e-11,-1.762644230769231e-07,1.0331373996511002e-07
0.1,2.5000000000000004e-11,-1.757657967032967e-07,1.0287947528176975e-07
0.1,2.5000000000000004e-11,-1.7526717032967034e-07,1.024460547360456e-07
0.1,2.5000000000000004e-11,-1.7476854395604397e-07,1.0201356573144212e-07
0.1,2.5000000000000004e-11,-1.742699175824176e-07,1.0158209968001458e-07
0.1,2.5000000000000004e-11,-1.7377129120879124e-07,1.0115175254527111e-07
0.1,2.5000000000000004e-11,-1.7327266483516487e-07,1.007226254373753e-07
0.1,2.5000000000000004e-11,-1.7277403846153847e-07,1.0029478237732741e-07
0.1,2.5000000000000004e-11,-1.722754120879121e-07,9.986803998396132e-08
0.1,2.5000000000000004e-11,-1.7177678571428574e-07,9.944245084195189e-08
0.1,2.5000000000000004e-11,-1.7127815934065937e-07,9.90181180022261e-08
0.1,2.5000000000000004e-11,-1.70779532967033e-07,9.859515122508218e-08
0.1,2.5000000000000004e-11,-1.702809065934066e-07,9.817366785229978e-08
0.1,2.5000000000000004e-11,-1.6978228021978024e-07,9.775379598284314e-08
0.1,2.5000000000000004e-11,-1.6928365384615387e-07,9.733545854224732e-08
0.1,2.5000000000000004e-11,-1.687850274725275e-07,9.691850136648467e-08
0.1,2.5000000000000004e-11,-1.6828640109890113e-07,9.650304695826493e-08
0.1,2.5000000000000004e-11,-1.6778777472527473e-07,9.608922808887836e-08
0.1,2.5000000000000004e-11,-1.6728914835164837e-07,9.567718910265952e-08
0.1,2.5000000000000004e-11,-1.66790521978022e-07,9.526708968790252e-08
0.1,2.5000000000000004e-11,-1.6629189560439563e-07,9.485873585557324e-08
0.1,2.5000000000000004e-11,-1.6579326923076926e-07,9.44520168910009e-08
0.1,2.5000000000000004e-11,-1.6529464285714287e-07,9.404708988620593e-08
0.1,2.5000000000000004e-11,-1.647960164835165e-07,9.364412800214396e-08
0.1,2.5000000000000004e-11,-1.6429739010989013e-07,9.32433224361256e-08
0.1,2.5000000000000004e-11,-1.6379876373626376e-07,9.284461846458698e-08
0.1,2.5000000000000004e-11,-1.633001373626374e-07,9.244770282561618e-08
0.1,2.5000000000000004e-11,-1.62801510989011e-07,9.205276473481801e-08
0.1,2.5000000000000004e-11,-1.6230288461538463e-07,9.166002309466013e-08
0.1,2.5000000000000004e-11,-1.6180425824175826e-07,9.126972312423224e-08
0.1,2.5000000000000004e-11,-1.613056318681319e-07,9.088156493067954e-08
0.1,2.5000000000000004e-11,-1.6080700549450552e-07,9.049539166831697e-08
0.1,2.5000000000000004e-11,-1.6030837912087915e-07,9.011146227354961e-08
0.1,2.5000000000000004e-11,-1.5980975274725276e-07,8.973006775238452e-08
0.1,2.5000000000000004e-11,-1.593111263736264e-07,8.935120969884307e-08
0.1,2.5000000000000004e-11,-1.5881250000000002e-07,8.897439259767633e-08
0.1,2.5000000000000004e-11,-1.5831387362637365e-07,8.859990082577212e-08
0.1,2.5000000000000004e-11,-1.5781524725274728e-07,8.822809150535187e-08
0.1,2.5000000000000004e-11,-1.573166208791209e-07,8.785897278746046e-08
0.1,2.5000000000000004e-11,-1.5681799450549452e-07,8.749197826317699e-08
0.1,2.5000000000000004e-11,-1.5631936813186815e-07,8.712746831301806e-08
0.1,2.5000000000000004e-11,-1.5582074175824178e-07,8.676589435019232e-08
0.1,2.5000000000000004e-11,-1.553221153846154e-07,8.640686008876476e-08
0.1,2.5000000000000004e-11,-1.5482348901098902e-07,8.605010342264831e-08
0.1,2.5000000000000004e-11,-1.5432486263736265e-07,8.569613395846801e-08
